Date,Order ID,Product,Category,Sales,Cost,Discount,Quantity,Region,Profit
2023-01-01,0e45e1ce,Printer,Accessories,423.86,153.69,0,5,South,270.17
2023-01-02,9e508b9a,Mouse,Accessories,541.46,308.82,10,8,East,232.64
2023-01-03,28741e6c,Laptop,Accessories,131.22,99.69,15,4,West,31.53
2023-01-04,9dad722b,Laptop,Electronics,164.71,1080.51,0,9,East,-915.8
2023-01-05,1e725fa7,Headphones,Electronics,1439.96,1124.66,10,9,West,315.3
2023-01-06,94968720,Keyboard,Accessories,547.99,172.74,0,6,North,375.25
2023-01-07,8e4b2893,Keyboard,Office Supplies,563.28,1151.87,10,4,North,-588.59
2023-01-08,4a6c6a65,Printer,Electronics,1836.86,880.53,15,5,East,956.33
2023-01-09,7d35e427,Printer,Office Supplies,721.31,367.09,15,4,South,354.22
2023-01-10,82af8d67,Keyboard,Accessories,1203.72,247.79,0,5,East,955.93
2023-01-11,b0546365,Headphones,Office Supplies,1497.67,1025.71,10,7,East,471.96
2023-01-12,c960d705,Printer,Electronics,1380.51,885.18,10,7,West,495.33
2023-01-13,b1812df7,Phone,Accessories,946.37,601.97,20,2,North,344.4
2023-01-14,41490c9b,Mouse,Accessories,1879.44,635.33,5,6,East,1244.11
2023-01-15,533d0638,Phone,Office Supplies,211.48,356.09,20,5,East,-144.61
2023-01-16,f94c2b61,Printer,Electronics,381.08,1199.34,0,9,East,-818.26
2023-01-17,c2693865,Mouse,Electronics,291.31,113.31,5,9,East,178.0
2023-01-18,b20be535,Printer,Electronics,256.51,239.14,10,1,North,17.37
2023-01-19,de398b83,Phone,Office Supplies,1161.64,1309.68,15,6,East,-148.04
2023-01-20,f0703645,Printer,Office Supplies,1496.65,634.8,15,4,West,861.85
2023-01-21,b20a12bd,Phone,Electronics,1111.94,124.22,0,5,East,987.72
2023-01-22,8d1a7541,Mouse,Accessories,348.01,1286.87,20,4,West,-938.86
2023-01-23,3cfa4914,Laptop,Accessories,1621.55,730.21,15,7,South,891.34
2023-01-24,e681c097,Mouse,Office Supplies,165.65,916.75,10,6,East,-751.1
2023-01-25,2f0c8ddb,Monitor,Accessories,865.08,1110.21,0,1,South,-245.13
